"city","state","idhm","income","longevity","education","year"
"Betim","MG",0.695,0.622,0.674,0.79,1991
"Cajobi","SP",0.742,0.696,0.766,0.765,1991
"Camanducaia","MG",0.666,0.647,0.699,0.653,1991
"Cananéia","SP",0.705,0.607,0.727,0.78,1991
"Cassilândia","MS",0.716,0.709,0.686,0.754,1991
"Coronel Vivida","PR",0.701,0.605,0.73,0.768,1991
"Duartina","SP",0.715,0.672,0.717,0.756,1991
"Flórida","PR",0.698,0.65,0.697,0.748,1991
"Giruá","RS",0.699,0.611,0.684,0.801,1991
"Iacri","SP",0.695,0.633,0.702,0.75,1991
"Ibirarema","SP",0.717,0.638,0.712,0.802,1991
"Ibitiúra de Minas","MG",0.704,0.638,0.775,0.699,1991
"Itatiba do Sul","RS",0.675,0.521,0.75,0.753,1991
"Ladário","MS",0.715,0.584,0.711,0.851,1991
"Mendes","RJ",0.694,0.63,0.653,0.799,1991
"Monteiro Lobato","SP",0.676,0.625,0.735,0.669,1991
"Nipoã","SP",0.714,0.649,0.759,0.734,1991
"Paranapuã","SP",0.709,0.619,0.742,0.766,1991
"Rio das Ostras","RJ",0.681,0.631,0.702,0.709,1991
"Romaria","MG",0.692,0.635,0.686,0.755,1991
"São Sepé","RS",0.7,0.65,0.671,0.78,1991
"Serrana","SP",0.75,0.699,0.749,0.801,1991
"Suzano","SP",0.734,0.702,0.67,0.831,1991
"Tarumã","SP",0.71,0.626,0.742,0.761,1991
"Abdon Batista","SC",0.67,0.55,0.716,0.745,1991
"Alto Alegre","SP",0.7,0.598,0.759,0.743,1991
"Américo de Campos","SP",0.712,0.634,0.749,0.752,1991
"Arapongas","PR",0.714,0.687,0.655,0.799,1991
"Bandeira do Sul","MG",0.685,0.63,0.709,0.715,1991
"Cabreúva","SP",0.715,0.72,0.669,0.755,1991
"Campo Largo","PR",0.711,0.649,0.704,0.78,1991
"Campo Mourão","PR",0.703,0.671,0.655,0.784,1991
"Carmo do Cajuru","MG",0.69,0.579,0.731,0.76,1991
"Chapadão do Lageado","SC",0.714,0.619,0.797,0.725,1991
"Grupiara","MG",0.696,0.625,0.728,0.734,1991
"Itapuí","SP",0.719,0.692,0.695,0.771,1991
"Jóia","RS",0.687,0.584,0.686,0.79,1991
"Manaus","AM",0.745,0.712,0.681,0.843,1991
"Mato Castelhano","RS",0.675,0.583,0.698,0.743,1991
"Matozinhos","MG",0.703,0.592,0.726,0.791,1991
"Navegantes","SC",0.718,0.655,0.699,0.8,1991
"Paulistânia","SP",0.662,0.585,0.725,0.676,1991
"Pilar do Sul","SP",0.705,0.724,0.677,0.713,1991
"Poço Fundo","MG",0.693,0.64,0.709,0.73,1991
"Porto Amazonas","PR",0.677,0.567,0.666,0.797,1991
"Pratinha","MG",0.676,0.631,0.712,0.685,1991
"Presidente Nereu","SC",0.692,0.588,0.78,0.709,1991
"Quatro Barras","PR",0.703,0.673,0.644,0.793,1991
"Rifaina","SP",0.673,0.614,0.624,0.78,1991
"Santópolis do Aguapeí","SP",0.708,0.634,0.735,0.756,1991
"São Francisco de Assis","RS",0.695,0.587,0.72,0.779,1991
"São João","PR",0.675,0.544,0.723,0.759,1991
"São João da Urtiga","RS",0.685,0.556,0.738,0.761,1991
"São João de Meriti","RJ",0.707,0.629,0.669,0.822,1991
"Senador José Bento","MG",0.695,0.627,0.744,0.713,1991
"Silvânia","GO",0.688,0.63,0.69,0.745,1991
"Verê","PR",0.652,0.529,0.667,0.759,1991
"Anitápolis","SC",0.701,0.603,0.799,0.701,1991
"Arroio dos Ratos","RS",0.697,0.599,0.705,0.786,1991
"Brumadinho","MG",0.696,0.626,0.687,0.774,1991
"Carvalhópolis","MG",0.676,0.595,0.71,0.722,1991
"Chopinzinho","PR",0.664,0.561,0.704,0.728,1991
"Colatina","ES",0.707,0.633,0.724,0.764,1991
"Confins","MG",0.676,0.574,0.675,0.78,1991
"Dois Vizinhos","PR",0.699,0.614,0.693,0.791,1991
"Floresta","PR",0.729,0.679,0.72,0.789,1991
"Guarapuava","PR",0.707,0.66,0.68,0.78,1991
"Irati","SC",0.666,0.515,0.791,0.692,1991
"Jardim","MS",0.708,0.652,0.671,0.801,1991
"Maracaí","SP",0.746,0.671,0.757,0.81,1991
"Moema","MG",0.691,0.615,0.676,0.781,1991
"Muriaé","MG",0.707,0.645,0.729,0.748,1991
"Novo Machado","RS",0.711,0.571,0.777,0.785,1991
"Paraguaçu Paulista","SP",0.728,0.68,0.706,0.798,1991
"Paraíso","SC",0.679,0.514,0.777,0.747,1991
"Pinhal Grande","RS",0.705,0.591,0.766,0.757,1991
"Pratápolis","MG",0.705,0.62,0.734,0.761,1991
"Rancho Queimado","SC",0.702,0.592,0.799,0.714,1991
"Sabará","MG",0.696,0.638,0.651,0.798,1991
"Sandovalina","SP",0.7,0.604,0.782,0.714,1991
"Santa Fé","PR",0.679,0.633,0.672,0.731,1991
"São João da Mata","MG",0.694,0.631,0.743,0.709,1991
"Sulina","PR",0.659,0.52,0.704,0.753,1991
"Terra de Areia","RS",0.715,0.635,0.763,0.748,1991
"Terra Roxa","SP",0.714,0.67,0.703,0.769,1991
"Timbé do Sul","SC",0.682,0.598,0.729,0.718,1991
"Tiradentes","MG",0.672,0.588,0.659,0.768,1991
"Três Pontas","MG",0.696,0.637,0.709,0.741,1991
"Ubá","MG",0.715,0.631,0.733,0.782,1991
"Vicentinópolis","GO",0.681,0.645,0.684,0.714,1991
"Álvares Machado","SP",0.729,0.644,0.752,0.791,1991
"Angra dos Reis","RJ",0.722,0.66,0.707,0.798,1991
"Aracruz","ES",0.703,0.667,0.656,0.786,1991
"Bom Jesus de Goiás","GO",0.68,0.637,0.661,0.742,1991
"Campo Alegre","SC",0.693,0.595,0.718,0.767,1991
"Carmo do Rio Claro","MG",0.669,0.584,0.692,0.732,1991
"Correia Pinto","SC",0.712,0.609,0.75,0.777,1991
"Cubatão","SP",0.723,0.683,0.667,0.819,1991
"Embu","SP",0.749,0.725,0.718,0.805,1991
"Fartura","SP",0.695,0.628,0.686,0.77,1991
"Ferraz de Vasconcelos","SP",0.713,0.663,0.67,0.806,1991
"Governador Valadares","MG",0.717,0.668,0.701,0.782,1991
"Indiaporã","SP",0.714,0.656,0.683,0.802,1991
"Inocência","MS",0.696,0.7,0.735,0.653,1991
"Lavras do Sul","RS",0.695,0.656,0.669,0.761,1991
"Macapá","AP",0.73,0.683,0.69,0.817,1991
"Macieira","SC",0.64,0.523,0.691,0.705,1991
"Manduri","SP",0.711,0.688,0.673,0.773,1991
"Mariana","MG",0.708,0.629,0.722,0.773,1991
"Paranaíba","MS",0.7,0.687,0.695,0.717,1991
"Rio Bonito","RJ",0.694,0.626,0.722,0.734,1991
"Santa Salete","SP",0.717,0.598,0.776,0.777,1991
"Santiago do Sul","SC",0.68,0.547,0.788,0.705,1991
"São Pedro do Sul","RS",0.702,0.609,0.711,0.787,1991
"Vera","MT",0.741,0.741,0.78,0.703,1991
"Álvares Florence","SP",0.703,0.591,0.749,0.77,1991
"Astolfo Dutra","MG",0.685,0.606,0.709,0.739,1991
"Bela Vista do Paraíso","PR",0.703,0.642,0.739,0.727,1991
"Borborema","SP",0.71,0.695,0.669,0.767,1991
"Corumbá","MS",0.723,0.647,0.711,0.812,1991
"Cristais Paulista","SP",0.697,0.628,0.713,0.75,1991
"Cristianópolis","GO",0.667,0.632,0.615,0.755,1991
"Floraí","PR",0.697,0.627,0.687,0.777,1991
"Guaraçaí","SP",0.726,0.673,0.721,0.784,1991
"Itaocara","RJ",0.681,0.606,0.7,0.736,1991
"José Boiteux","SC",0.688,0.595,0.728,0.741,1991
"Lauro de Freitas","BA",0.677,0.675,0.608,0.747,1991
"Loanda","PR",0.701,0.65,0.698,0.756,1991
"Marcelândia","MT",0.667,0.656,0.712,0.632,1991
"Mendonça","SP",0.719,0.659,0.769,0.73,1991
"Mira Estrela","SP",0.713,0.648,0.739,0.753,1991
"Monções","SP",0.708,0.637,0.765,0.721,1991
"Nova Aurora","PR",0.688,0.598,0.725,0.741,1991
"Paracambi","RJ",0.681,0.628,0.65,0.765,1991
"Paraíba do Sul","RJ",0.72,0.623,0.75,0.787,1991
"Paraibuna","SP",0.684,0.643,0.685,0.723,1991
"Pouso Novo","RS",0.707,0.599,0.8,0.723,1991
"Rio Pomba","MG",0.694,0.618,0.733,0.731,1991
"Salto de Pirapora","SP",0.681,0.644,0.669,0.73,1991
"São Francisco de Sales","MG",0.705,0.636,0.744,0.736,1991
"São Lourenço da Serra","SP",0.722,0.681,0.762,0.724,1991
"São Sebastião do Rio Verde","MG",0.678,0.569,0.719,0.746,1991
"Sul Brasil","SC",0.672,0.519,0.788,0.71,1991
"Tabapuã","SP",0.727,0.699,0.735,0.747,1991
"Vilhena","RO",0.71,0.687,0.665,0.777,1991
"Antonina","PR",0.687,0.6,0.702,0.759,1991
"Araçariguama","SP",0.694,0.644,0.674,0.763,1991
"Cachoeiro de Itapemirim","ES",0.71,0.668,0.675,0.788,1991
"Caetanópolis","MG",0.704,0.625,0.688,0.799,1991
"Capão do Leão","RS",0.711,0.577,0.765,0.791,1991
"Careaçu","MG",0.688,0.61,0.743,0.711,1991
"Conchal","SP",0.707,0.677,0.712,0.732,1991
"Getulina","SP",0.713,0.628,0.762,0.749,1991
"Igaraçu do Tietê","SP",0.714,0.686,0.726,0.729,1991
"Inconfidentes","MG",0.679,0.626,0.706,0.705,1991
"Itacurubi","RS",0.679,0.588,0.693,0.755,1991
"Morro Redondo","RS",0.703,0.601,0.736,0.771,1991
"Nova Ramada","RS",0.705,0.625,0.72,0.77,1991
"Oliveira","MG",0.701,0.607,0.732,0.765,1991
"Ourizona","PR",0.707,0.649,0.72,0.753,1991
"Pariquera-Açu","SP",0.699,0.642,0.648,0.806,1991
"Pequi","MG",0.703,0.638,0.71,0.76,1991
"Sales","SP",0.707,0.601,0.785,0.735,1991
"Santa Ernestina","SP",0.728,0.68,0.739,0.764,1991
"Santo Antônio da Alegria","SP",0.715,0.625,0.717,0.802,1991
"Santo Antônio da Patrulha","RS",0.713,0.658,0.751,0.731,1991
"São João Batista do Glória","MG",0.684,0.637,0.72,0.696,1991
"Torixoreu","MT",0.675,0.635,0.654,0.736,1991
"Vitor Meireles","SC",0.694,0.591,0.768,0.722,1991
"Anchieta","SC",0.686,0.553,0.768,0.736,1991
"Ariranha","SP",0.74,0.702,0.766,0.752,1991
"Bueno Brandão","MG",0.665,0.61,0.708,0.676,1991
"Cambará","PR",0.73,0.691,0.737,0.762,1991
"Ciríaco","RS",0.686,0.594,0.7,0.764,1991
"Coxilha","RS",0.713,0.623,0.754,0.762,1991
"Cromínia","GO",0.674,0.606,0.659,0.756,1991
"Curitibanos","SC",0.7,0.625,0.695,0.78,1991
"Dores do Rio Preto","ES",0.636,0.585,0.636,0.686,1991
"Ermo","SC",0.689,0.637,0.704,0.725,1991
"Guaranésia","MG",0.685,0.625,0.733,0.698,1991
"Itambé","PR",0.704,0.61,0.72,0.781,1991
"Laranjal","MG",0.653,0.56,0.706,0.693,1991
"Macuco","RJ",0.671,0.611,0.607,0.795,1991
"Passa Tempo","MG",0.704,0.655,0.721,0.737,1991
"Passo do Sobrado","RS",0.727,0.673,0.739,0.77,1991
"Pedro Osório","RS",0.712,0.668,0.693,0.775,1991
"Prata","MG",0.686,0.649,0.675,0.734,1991
"Rosário do Sul","RS",0.7,0.622,0.68,0.799,1991
"São Gonçalo do Sapucaí","MG",0.701,0.623,0.74,0.74,1991
"São Miguel Arcanjo","SP",0.691,0.666,0.682,0.725,1991
"São Vicente de Minas","MG",0.682,0.609,0.688,0.748,1991
"Sebastianópolis do Sul","SP",0.687,0.648,0.686,0.727,1991
"Soledade de Minas","MG",0.685,0.584,0.719,0.753,1991
"Sonora","MS",0.681,0.654,0.711,0.679,1991
"Taquaruçu do Sul","RS",0.707,0.592,0.734,0.795,1991
"Tenente Portela","RS",0.692,0.573,0.73,0.774,1991
"Xavantina","SC",0.747,0.724,0.758,0.76,1991
"Alvorada","RS",0.716,0.631,0.701,0.815,1991
"Anhembi","SP",0.717,0.652,0.732,0.766,1991
"Apiúna","SC",0.691,0.621,0.712,0.74,1991
"Avanhandava","SP",0.715,0.656,0.732,0.758,1991
"Barcarena","PA",0.695,0.606,0.709,0.771,1991
"Caçapava do Sul","RS",0.703,0.63,0.686,0.793,1991
"Cachoeira de Minas","MG",0.68,0.554,0.721,0.765,1991
"Camaquã","RS",0.702,0.655,0.689,0.763,1991
"Coronel Bicaco","RS",0.692,0.575,0.762,0.74,1991
"Edealina","GO",0.67,0.601,0.702,0.707,1991
"Elias Fausto","SP",0.705,0.671,0.71,0.735,1991
"Elói Mendes","MG",0.697,0.656,0.717,0.719,1991
"Gabriel Monteiro","SP",0.713,0.66,0.721,0.758,1991
"Gastão Vidigal","SP",0.69,0.632,0.688,0.75,1991
"Itaguaí","RJ",0.687,0.631,0.652,0.779,1991
"Ivatuba","PR",0.73,0.715,0.678,0.797,1991
"Jussara","PR",0.691,0.626,0.696,0.751,1991
"Lavrinhas","SP",0.698,0.634,0.677,0.782,1991
"Monte Carmelo","MG",0.717,0.663,0.726,0.761,1991
"Orizona","GO",0.68,0.584,0.71,0.745,1991
"Pimenta","MG",0.688,0.616,0.727,0.72,1991
"Ponte Serrada","SC",0.683,0.573,0.737,0.739,1991
"Porangaba","SP",0.678,0.617,0.646,0.77,1991
"Santa Rita de Caldas","MG",0.682,0.608,0.709,0.729,1991
"Sarandi","PR",0.696,0.603,0.741,0.745,1991
"Sinimbu","RS",0.698,0.586,0.789,0.72,1991
"Taciba","SP",0.674,0.621,0.668,0.732,1991
"Taguaí","SP",0.703,0.616,0.742,0.75,1991
"União do Sul","MT",0.71,0.699,0.712,0.718,1991
"Vargem","SC",0.663,0.508,0.765,0.716,1991
"Araquari","SC",0.707,0.637,0.717,0.768,1991
"Boa Vista das Missões","RS",0.656,0.528,0.696,0.745,1991
"Bonito","MS",0.675,0.627,0.704,0.695,1991
"Cambira","PR",0.683,0.591,0.723,0.736,1991
"Cesário Lange","SP",0.715,0.66,0.718,0.768,1991
"Conceição das Alagoas","MG",0.713,0.677,0.719,0.742,1991
"Coqueiros do Sul","RS",0.642,0.569,0.597,0.759,1991
"Corbélia","PR",0.699,0.616,0.725,0.757,1991
"Corumbaíba","GO",0.677,0.621,0.676,0.735,1991
"Dom Pedro de Alcântara","RS",0.675,0.565,0.715,0.745,1991
"Doutor Camargo","PR",0.692,0.596,0.72,0.759,1991
"Entre-Ijuís","RS",0.708,0.587,0.745,0.791,1991
"Estrela do Norte","SP",0.711,0.59,0.782,0.76,1991
"Flórida Paulista","SP",0.704,0.625,0.761,0.727,1991
"Irineópolis","SC",0.657,0.559,0.687,0.725,1991
"Itiquira","MT",0.654,0.586,0.701,0.676,1991
"Maquiné","RS",0.677,0.598,0.689,0.744,1991
"Morro Agudo","SP",0.717,0.699,0.719,0.733,1991
"Munhoz de Melo","PR",0.661,0.583,0.689,0.712,1991
"Novo Barreiro","RS",0.647,0.477,0.729,0.736,1991
"Palmitinho","RS",0.658,0.521,0.705,0.749,1991
"Paraopeba","MG",0.679,0.594,0.688,0.754,1991
"Pirapora do Bom Jesus","SP",0.708,0.649,0.712,0.762,1991
"Santa Izabel do Oeste","PR",0.658,0.546,0.696,0.732,1991
"São Miguel do Passa Quatro","GO",0.667,0.596,0.658,0.746,1991
"Telêmaco Borba","PR",0.704,0.667,0.644,0.801,1991
"Três Palmeiras","RS",0.667,0.582,0.695,0.725,1991
"Altair","SP",0.723,0.65,0.791,0.728,1991
"Angelina","SC",0.689,0.583,0.777,0.707,1991
"Barrinha","SP",0.725,0.683,0.762,0.731,1991
"Bom Jesus do Norte","ES",0.683,0.595,0.675,0.779,1991
"Capinópolis","MG",0.702,0.655,0.727,0.724,1991
"Fazenda Vilanova","RS",0.697,0.622,0.716,0.753,1991
"Irapuã","SP",0.707,0.625,0.755,0.742,1991
"Joanópolis","SP",0.691,0.674,0.688,0.712,1991
"João Neiva","ES",0.704,0.641,0.686,0.784,1991
"Junqueirópolis","SP",0.685,0.642,0.642,0.772,1991
"Matutina","MG",0.685,0.63,0.71,0.714,1991
"Ponte Nova","MG",0.688,0.635,0.654,0.774,1991
"Presidente Epitácio","SP",0.699,0.682,0.615,0.8,1991
"Queluz","SP",0.681,0.611,0.648,0.784,1991
"Rio Novo","MG",0.691,0.615,0.727,0.732,1991
"Santa Isabel","SP",0.701,0.65,0.705,0.749,1991
"Santo Antônio do Jardim","SP",0.718,0.649,0.775,0.729,1991
"Santo Augusto","RS",0.679,0.648,0.615,0.774,1991
"Santos Dumont","MG",0.697,0.612,0.705,0.774,1991
"São Joaquim","SC",0.692,0.609,0.707,0.761,1991
"São Martinho da Serra","RS",0.67,0.561,0.752,0.698,1991
"São Mateus do Sul","PR",0.698,0.599,0.719,0.775,1991
"São Roque de Minas","MG",0.674,0.637,0.703,0.682,1991
"São Valentim","RS",0.714,0.627,0.75,0.765,1991
"Teresina","PI",0.713,0.637,0.708,0.793,1991
"Vidal Ramos","SC",0.683,0.595,0.735,0.718,1991
"Areal","RJ",0.698,0.611,0.715,0.768,1991
"Atalaia","PR",0.669,0.615,0.644,0.747,1991
"Bandeirante","SC",0.664,0.493,0.763,0.737,1991
"Barra do Guarita","RS",0.667,0.508,0.754,0.74,1991
"Dona Francisca","RS",0.727,0.7,0.7,0.781,1991
"Doutor Maurício Cardoso","RS",0.706,0.587,0.721,0.809,1991
"Eugênio de Castro","RS",0.672,0.588,0.622,0.805,1991
"Fortaleza de Minas","MG",0.676,0.606,0.734,0.689,1991
"Goiandira","GO",0.692,0.615,0.681,0.781,1991
"Inhumas","GO",0.677,0.65,0.637,0.745,1991
"Lavínia","SP",0.708,0.659,0.697,0.767,1991
"Nazário","GO",0.688,0.591,0.71,0.764,1991
"Ocauçu","SP",0.69,0.594,0.729,0.746,1991
"Palmares Paulista","SP",0.724,0.696,0.766,0.711,1991
"Palmeira d'Oeste","SP",0.708,0.66,0.693,0.77,1991
"Restinga Seca","RS",0.712,0.645,0.7,0.79,1991
"Sete de Setembro","RS",0.689,0.524,0.769,0.773,1991
"Taquaral","SP",0.714,0.715,0.717,0.709,1991
"Urânia","SP",0.732,0.652,0.739,0.804,1991
"Aparecida de Goiânia","GO",0.677,0.61,0.658,0.763,1991
"Arroio do Tigre","RS",0.677,0.583,0.692,0.757,1991
"Barracão","PR",0.685,0.641,0.654,0.761,1991
"Camboriú","SC",0.705,0.662,0.697,0.756,1991
"Campina das Missões","RS",0.688,0.557,0.653,0.853,1991
"Capela de Santana","RS",0.687,0.618,0.699,0.743,1991
"Capetinga","MG",0.671,0.633,0.684,0.696,1991
"Cerqueira César","SP",0.713,0.693,0.675,0.77,1991
"Colombo","PR",0.691,0.641,0.651,0.781,1991
"Elisiário","SP",0.701,0.646,0.766,0.69,1991
"Guaratuba","PR",0.678,0.657,0.611,0.766,1991
"Igaratá","SP",0.704,0.648,0.756,0.709,1991
"Indianópolis","MG",0.684,0.618,0.714,0.721,1991
"Ipiaçu","MG",0.692,0.621,0.724,0.73,1991
"Itamogi","MG",0.69,0.617,0.731,0.722,1991
"Ivaiporã","PR",0.689,0.614,0.729,0.725,1991
"Jaguarão","RS",0.707,0.654,0.651,0.816,1991
"Mirassolândia","SP",0.696,0.628,0.733,0.727,1991
"Monsenhor Paulo","MG",0.674,0.638,0.673,0.712,1991
"Ouro Verde do Oeste","PR",0.657,0.59,0.637,0.745,1991
"Palestina","SP",0.734,0.684,0.748,0.771,1991
"Paraíso do Sul","RS",0.689,0.637,0.662,0.767,1991
"Pitangueiras","SP",0.709,0.687,0.717,0.722,1991
"Rio Grande da Serra","SP",0.727,0.662,0.719,0.801,1991
"Santo Antônio das Missões","RS",0.704,0.585,0.754,0.774,1991
"São Cristovão do Sul","SC",0.659,0.555,0.765,0.658,1991
"Terra Roxa","PR",0.683,0.567,0.726,0.757,1991
"Ubirajara","SP",0.706,0.601,0.783,0.733,1991
"Vista Alegre","RS",0.701,0.647,0.677,0.778,1991
"Acreúna","GO",0.664,0.627,0.658,0.708,1991
"Aparecida do Taboado","MS",0.698,0.644,0.749,0.702,1991
"Carmo","RJ",0.667,0.613,0.663,0.726,1991
"Carneirinho","MG",0.671,0.621,0.7,0.692,1991
"Colômbia","SP",0.688,0.631,0.7,0.732,1991
"Fazenda Rio Grande","PR",0.716,0.635,0.717,0.795,1991
"Gavião Peixoto","SP",0.726,0.677,0.75,0.752,1991
"Itapecerica","MG",0.675,0.597,0.702,0.727,1991
"Jardinópolis","SC",0.684,0.59,0.731,0.731,1991
"Juara","MT",0.65,0.613,0.627,0.711,1991
"Lagoa da Prata","MG",0.679,0.606,0.654,0.776,1991
"Luminárias","MG",0.667,0.563,0.711,0.728,1991
"Narandiba","SP",0.708,0.593,0.782,0.748,1991
"Pacaembu","SP",0.716,0.65,0.731,0.768,1991
"Palmeira","PR",0.7,0.64,0.671,0.789,1991
"Paraíso do Norte","PR",0.669,0.628,0.665,0.715,1991
"Planalto","PR",0.686,0.551,0.726,0.78,1991
"Porto Velho","RO",0.71,0.692,0.633,0.806,1991
"Praia Grande","SC",0.687,0.638,0.7,0.724,1991
"Presidente Alves","SP",0.701,0.61,0.739,0.753,1991
"Reginópolis","SP",0.689,0.648,0.667,0.751,1991
"São João Nepomuceno","MG",0.684,0.63,0.664,0.759,1991
"São Miguel das Missões","RS",0.659,0.581,0.673,0.723,1991
"Tarabai","SP",0.687,0.624,0.693,0.744,1991
"Tuiuti","SP",0.686,0.611,0.741,0.706,1991
"Angatuba","SP",0.701,0.663,0.69,0.751,1991
"Castelo","ES",0.677,0.598,0.686,0.746,1991
"Celso Ramos","SC",0.677,0.536,0.739,0.755,1991
"Engenheiro Beltrão","PR",0.691,0.605,0.709,0.758,1991
"General Salgado","SP",0.733,0.697,0.705,0.798,1991
"Ibiraci","MG",0.675,0.649,0.684,0.691,1991
"Jesuítas","PR",0.661,0.574,0.654,0.754,1991
"Luiziânia","SP",0.695,0.621,0.759,0.706,1991
"Mandaguaçu","PR",0.682,0.646,0.672,0.729,1991
"Meridiano","SP",0.678,0.597,0.688,0.749,1991
"Nova Iguaçu","RJ",0.707,0.63,0.675,0.815,1991
"Nova Londrina","PR",0.704,0.659,0.673,0.78,1991
"Porto Xavier","RS",0.7,0.599,0.747,0.755,1991
"Quatiguá","PR",0.679,0.627,0.664,0.745,1991
"Ribeirão do Sul","SP",0.686,0.606,0.692,0.761,1991
"Santa Bárbara","MG",0.694,0.609,0.678,0.794,1991
"Santa Rosa do Sul","SC",0.686,0.639,0.704,0.715,1991
"São Pedro do Paraná","PR",0.656,0.539,0.702,0.727,1991
"Saquarema","RJ",0.678,0.623,0.684,0.728,1991
"Sertão Santana","RS",0.684,0.628,0.664,0.76,1991
"Tocantins","MG",0.672,0.601,0.69,0.725,1991
"Arapoti","PR",0.673,0.671,0.623,0.725,1991
"Balbinos","SP",0.702,0.637,0.718,0.751,1991
"Camapuã","MS",0.681,0.667,0.653,0.724,1991
"Campina Grande do Sul","PR",0.696,0.636,0.709,0.742,1991
"Campos Novos Paulista","SP",0.716,0.609,0.781,0.757,1991
"Canarana","MT",0.71,0.681,0.667,0.782,1991
"Contenda","PR",0.68,0.612,0.671,0.758,1991
"Cristalina","GO",0.688,0.616,0.699,0.75,1991
"Glicério","SP",0.692,0.626,0.698,0.752,1991
"Guiratinga","MT",0.675,0.623,0.654,0.749,1991
"Hulha Negra","RS",0.663,0.563,0.694,0.733,1991
"Icém","SP",0.722,0.699,0.685,0.782,1991
"Jaguapitã","PR",0.672,0.635,0.644,0.736,1991
"Mairipotaba","GO",0.687,0.616,0.684,0.762,1991
"Mallet","PR",0.689,0.573,0.702,0.792,1991
"Motuca","SP",0.716,0.687,0.75,0.711,1991
"Mundo Novo","MS",0.703,0.63,0.716,0.762,1991
"Nova Castilho","SP",0.709,0.622,0.759,0.746,1991
"Óleo","SP",0.711,0.623,0.724,0.786,1991
"Pontão","RS",0.671,0.559,0.688,0.765,1991
"Porangatu","GO",0.668,0.61,0.628,0.765,1991
"Salto Grande","SP",0.707,0.637,0.728,0.756,1991
"São João de Iracema","SP",0.677,0.613,0.688,0.729,1991
"Seberi","RS",0.687,0.548,0.734,0.778,1991
"Serra","ES",0.693,0.633,0.629,0.817,1991
"Tavares","RS",0.668,0.629,0.691,0.684,1991
"Três Fronteiras","SP",0.693,0.615,0.685,0.778,1991
"Abadia dos Dourados","MG",0.67,0.592,0.728,0.691,1991
"Cambará do Sul","RS",0.676,0.617,0.65,0.762,1991
"Campos Borges","RS",0.682,0.569,0.714,0.764,1991
"Carandaí","MG",0.676,0.578,0.711,0.739,1991
"Castilho","SP",0.718,0.662,0.721,0.77,1991
"Chiapeta","RS",0.715,0.625,0.72,0.8,1991
"Dolcinópolis","SP",0.707,0.617,0.76,0.744,1991
"Dores de Campos","MG",0.656,0.577,0.659,0.733,1991
"Encruzilhada do Sul","RS",0.677,0.615,0.694,0.723,1991
"Herveiras","RS",0.666,0.562,0.76,0.675,1991
"Irapuru","SP",0.707,0.648,0.722,0.751,1991
"Itaipulândia","PR",0.691,0.608,0.713,0.752,1991
"Itirapuã","SP",0.699,0.63,0.728,0.74,1991
"Itumirim","MG",0.675,0.565,0.711,0.748,1991
"Jaborandi","SP",0.71,0.682,0.716,0.733,1991
"Jacupiranga","SP",0.714,0.65,0.695,0.797,1991
"Mandirituba","PR",0.68,0.58,0.717,0.743,1991
"Matelândia","PR",0.679,0.611,0.654,0.773,1991
"Morada Nova de Minas","MG",0.681,0.583,0.717,0.744,1991
"Nova Xavantina","MT",0.68,0.623,0.672,0.744,1991
"Novo Progresso","PA",0.692,0.739,0.727,0.609,1991
"Palmeiras de Goiás","GO",0.678,0.628,0.668,0.739,1991
"Paracatu","MG",0.68,0.622,0.666,0.752,1991
"Parnamirim","RN",0.64,0.607,0.593,0.719,1991
"Rio Novo do Sul","ES",0.68,0.591,0.71,0.738,1991
"Salto do Lontra","PR",0.664,0.523,0.722,0.747,1991
"Santa Vitória","MG",0.679,0.603,0.724,0.709,1991
"São José da Varginha","MG",0.704,0.62,0.74,0.753,1991
"Simão Pereira","MG",0.653,0.531,0.717,0.712,1991
"Tabatinga","SP",0.706,0.673,0.703,0.741,1991
"Urutaí","GO",0.666,0.62,0.628,0.749,1991
"Vargem Bonita","MG",0.672,0.589,0.69,0.738,1991
"Vitória das Missões","RS",0.679,0.554,0.754,0.728,1991
"Amambai","MS",0.693,0.637,0.744,0.699,1991
"Aparecida d'Oeste","SP",0.693,0.622,0.725,0.731,1991
"Aragoiânia","GO",0.676,0.588,0.728,0.713,1991
"Belmonte","SC",0.672,0.514,0.745,0.758,1991
"Bom Jardim de Minas","MG",0.688,0.602,0.715,0.748,1991
"Cachoeira Dourada","GO",0.653,0.628,0.639,0.692,1991
"Campestre","MG",0.672,0.613,0.68,0.722,1991
"Derrubadas","RS",0.658,0.487,0.748,0.738,1991
"Edéia","GO",0.682,0.65,0.658,0.738,1991
"Florínia","SP",0.721,0.643,0.774,0.746,1991
"Gonçalves","MG",0.652,0.6,0.686,0.669,1991
"Guará","SP",0.708,0.66,0.719,0.744,1991
"Guarani","MG",0.672,0.592,0.715,0.708,1991
"Ingaí","MG",0.676,0.584,0.711,0.734,1991
"Itapevi","SP",0.717,0.642,0.712,0.796,1991
"Itatinga","SP",0.701,0.683,0.706,0.713,1991
"Japurá","PR",0.681,0.585,0.696,0.761,1991
"Jarinu","SP",0.705,0.689,0.658,0.768,1991
"Monte Alegre de Minas","MG",0.71,0.66,0.714,0.755,1991
"Nova Itaberaba","SC",0.668,0.587,0.706,0.712,1991
"Novais","SP",0.701,0.631,0.766,0.705,1991
"Paulo Lopes","SC",0.683,0.578,0.774,0.696,1991
