"name","state","idhm","income","longevity","education","year"
"São Caetano do Sul","SP",0.919,0.896,0.886,0.975,2000
"Águas de São Pedro","SP",0.908,0.918,0.874,0.933,2000
"Niterói","RJ",0.886,0.891,0.808,0.96,2000
"Florianópolis","SC",0.875,0.867,0.797,0.96,2000
"Santos","SP",0.871,0.873,0.788,0.952,2000
"Bento Gonçalves","RS",0.87,0.799,0.873,0.938,2000
"Balneário Camboriú","SC",0.867,0.859,0.803,0.94,2000
"Joaçaba","SC",0.866,0.793,0.856,0.949,2000
"Porto Alegre","RS",0.865,0.869,0.775,0.951,2000
"Fernando de Noronha","Distrito Estadual",0.862,0.829,0.835,0.923,2000
"Carlos Barbosa","RS",0.858,0.791,0.841,0.942,2000
"Caxias do Sul","RS",0.857,0.807,0.818,0.945,2000
"Joinville","SC",0.857,0.776,0.859,0.936,2000
"Jundiaí","SP",0.857,0.826,0.816,0.928,2000
"Vinhedo","SP",0.857,0.848,0.831,0.893,2000
"Curitiba","PR",0.856,0.846,0.776,0.946,2000
"Selbach","RS",0.856,0.809,0.838,0.92,2000
"Vitória","ES",0.856,0.858,0.762,0.948,2000
"Blumenau","SC",0.855,0.797,0.824,0.945,2000
"Luzerna","SC",0.855,0.742,0.879,0.943,2000
"Ribeirão Preto","SP",0.855,0.823,0.823,0.918,2000
"Lacerdópolis","SC",0.854,0.796,0.856,0.909,2000
"Santana de Parnaíba","SP",0.853,0.88,0.772,0.906,2000
"Campinas","SP",0.852,0.845,0.787,0.925,2000
"Ivoti","RS",0.851,0.766,0.847,0.939,2000
"Quatro Pontes","PR",0.851,0.73,0.878,0.944,2000
"Saltinho","SP",0.851,0.776,0.872,0.906,2000
"Videira","SC",0.851,0.742,0.867,0.945,2000
"Ilha Solteira","SP",0.85,0.769,0.847,0.934,2000
"Jaraguá do Sul","SC",0.85,0.779,0.819,0.952,2000
"Veranópolis","RS",0.85,0.788,0.842,0.921,2000
"Concórdia","SC",0.849,0.765,0.855,0.927,2000
"Iomerê","SC",0.849,0.75,0.856,0.941,2000
"Pato Branco","PR",0.849,0.759,0.851,0.937,2000
"Pomerode","SC",0.849,0.768,0.827,0.952,2000
"São José","SC",0.849,0.784,0.839,0.925,2000
"São José dos Campos","SP",0.849,0.8,0.815,0.933,2000
"Araçatuba","SP",0.848,0.811,0.825,0.909,2000
"Chapecó","SC",0.848,0.747,0.855,0.943,2000
"Entre Rios do Oeste","PR",0.847,0.745,0.872,0.923,2000
"Nova Petrópolis","RS",0.847,0.777,0.847,0.916,2000
"Paulínia","SP",0.847,0.811,0.805,0.924,2000
"Braço do Norte","SC",0.846,0.786,0.833,0.919,2000
"Presidente Prudente","SP",0.846,0.804,0.81,0.924,2000
"Maripá","PR",0.845,0.729,0.875,0.931,2000
"Santa Maria","RS",0.845,0.785,0.817,0.932,2000
"Urussanga","SC",0.845,0.747,0.866,0.921,2000
"Brasília","DF",0.844,0.842,0.756,0.935,2000
"Farroupilha","RS",0.844,0.775,0.818,0.939,2000
"Nova Bassano","RS",0.844,0.783,0.827,0.921,2000
"Garibaldi","RS",0.843,0.795,0.818,0.916,2000
"Paraí","RS",0.843,0.768,0.827,0.934,2000
"Santo Amaro da Imperatriz","SC",0.843,0.718,0.834,0.978,2000
"São João da Boa Vista","SP",0.843,0.776,0.865,0.889,2000
"São Marcos","RS",0.843,0.766,0.839,0.923,2000
"São Sebastião do Caí","RS",0.843,0.753,0.86,0.915,2000
"Timbó","SC",0.843,0.771,0.806,0.953,2000
"Brusque","SC",0.842,0.78,0.833,0.912,2000
"Esteio","RS",0.842,0.757,0.828,0.942,2000
"Rio de Janeiro","RJ",0.842,0.84,0.754,0.933,2000
"Tubarão","SC",0.842,0.766,0.836,0.924,2000
"Valinhos","SP",0.842,0.832,0.782,0.911,2000
"Antônio Prado","RS",0.841,0.78,0.818,0.926,2000
"Gramado","RS",0.841,0.774,0.841,0.908,2000
"Maringá","PR",0.841,0.798,0.787,0.938,2000
"Poços de Caldas","MG",0.841,0.787,0.85,0.886,2000
"São Carlos","SP",0.841,0.795,0.801,0.928,2000
"São Paulo","SP",0.841,0.843,0.761,0.919,2000
"Americana","SP",0.84,0.801,0.791,0.928,2000
"Luiz Alves","SC",0.84,0.813,0.824,0.884,2000
"Belo Horizonte","MG",0.839,0.828,0.759,0.929,2000
"Feliz","RS",0.839,0.738,0.86,0.918,2000
"Flores da Cunha","RS",0.839,0.8,0.818,0.899,2000
"Nova Prata","RS",0.839,0.769,0.814,0.935,2000
"Osório","RS",0.839,0.737,0.864,0.917,2000
"Pirassununga","SP",0.839,0.774,0.836,0.907,2000
"São Lourenço","MG",0.839,0.774,0.865,0.879,2000
"Ibiaçá","RS",0.838,0.761,0.864,0.89,2000
"Lagoa dos Três Cantos","RS",0.838,0.751,0.84,0.924,2000
"Lajeado","RS",0.838,0.771,0.819,0.923,2000
"São Bento do Sul","SC",0.838,0.738,0.848,0.929,2000
"São Miguel d'Oeste","SC",0.838,0.727,0.878,0.908,2000
"Schroeder","SC",0.838,0.757,0.838,0.919,2000
"Arroio do Meio","RS",0.837,0.759,0.843,0.908,2000
"Campo Bom","RS",0.837,0.76,0.849,0.903,2000
"Pareci Novo","RS",0.837,0.733,0.872,0.905,2000
"Taubaté","SP",0.837,0.797,0.796,0.918,2000
"Bom Princípio","RS",0.836,0.73,0.86,0.917,2000
"Piracicaba","SP",0.836,0.795,0.799,0.913,2000
"Cordeirópolis","SP",0.835,0.759,0.864,0.881,2000
"Itapema","SC",0.835,0.806,0.794,0.906,2000
"Massaranduba","SC",0.835,0.735,0.88,0.89,2000
"Santo André","SP",0.835,0.814,0.76,0.932,2000
"Tijucas","SC",0.835,0.769,0.845,0.892,2000
"Caçapava","SP",0.834,0.757,0.831,0.915,2000
"Chapadão do Céu","GO",0.834,0.765,0.83,0.908,2000
"Dois Lajeados","RS",0.834,0.767,0.827,0.907,2000
"Frederico Westphalen","RS",0.834,0.723,0.842,0.937,2000
"Morro Reuter","RS",0.834,0.738,0.847,0.918,2000
"Nova Araçá","RS",0.834,0.786,0.799,0.916,2000
"São Bernardo do Campo","SP",0.834,0.812,0.749,0.94,2000
"São José do Rio Preto","SP",0.834,0.814,0.772,0.916,2000
"Tremembé","SP",0.834,0.766,0.825,0.912,2000
"Uberaba","MG",0.834,0.773,0.815,0.913,2000
"Boa Vista do Buricá","RS",0.833,0.707,0.853,0.94,2000
"Catanduva","SP",0.833,0.767,0.84,0.891,2000
"Harmonia","RS",0.833,0.734,0.85,0.916,2000
"Montenegro","RS",0.833,0.757,0.833,0.909,2000
"Não-Me-Toque","RS",0.833,0.751,0.84,0.907,2000
"Sertãozinho","SP",0.833,0.772,0.823,0.904,2000
"Boa Vista do Sul","RS",0.832,0.769,0.839,0.887,2000
"Fernandópolis","SP",0.832,0.758,0.847,0.891,2000
"Gaspar","SC",0.832,0.757,0.829,0.91,2000
"Goiânia","GO",0.832,0.813,0.751,0.933,2000
"Itapiranga","SC",0.832,0.711,0.846,0.938,2000
"Nova Pádua","RS",0.832,0.753,0.841,0.902,2000
"Palotina","PR",0.832,0.756,0.818,0.922,2000
"Presidente Castelo Branco","SC",0.832,0.736,0.856,0.905,2000
"Santa Rita do Passa Quatro","SP",0.832,0.8,0.823,0.873,2000
"Seara","SC",0.832,0.729,0.855,0.912,2000
"Serafina Corrêa","RS",0.832,0.765,0.827,0.905,2000
"Cunhataí","SC",0.831,0.706,0.879,0.907,2000
"Divinópolis","MG",0.831,0.74,0.842,0.912,2000
"Encantado","RS",0.831,0.754,0.828,0.911,2000
"Portão","RS",0.831,0.736,0.852,0.905,2000
"Santa Rosa","RS",0.831,0.73,0.832,0.932,2000
"Saudades","SC",0.831,0.685,0.878,0.93,2000
"Timóteo","MG",0.831,0.724,0.845,0.923,2000
"Victor Graeff","RS",0.831,0.734,0.838,0.92,2000
"Araraquara","SP",0.83,0.79,0.786,0.915,2000
"Marau","RS",0.83,0.751,0.827,0.911,2000
"Nova Roma do Sul","RS",0.83,0.744,0.818,0.927,2000
"Salvador do Sul","RS",0.83,0.727,0.855,0.909,2000
"Três de Maio","RS",0.83,0.699,0.872,0.92,2000
"Uberlândia","MG",0.83,0.768,0.802,0.92,2000
"Alfenas","MG",0.829,0.754,0.864,0.869,2000
"Assis","SP",0.829,0.773,0.81,0.905,2000
"Birigui","SP",0.829,0.761,0.833,0.893,2000
"Casca","RS",0.829,0.761,0.827,0.899,2000
"Estrela","RS",0.829,0.742,0.816,0.929,2000
"Guabiruba","SC",0.829,0.741,0.85,0.897,2000
"Indaiatuba","SP",0.829,0.791,0.798,0.898,2000
"Jaguariúna","SP",0.829,0.772,0.839,0.877,2000
"Marechal Cândido Rondon","PR",0.829,0.747,0.808,0.932,2000
"Araras","SP",0.828,0.763,0.827,0.894,2000
"Imigrante","RS",0.828,0.745,0.843,0.895,2000
"Iracemápolis","SP",0.828,0.767,0.827,0.891,2000
"Itatiba","SP",0.828,0.785,0.801,0.898,2000
"Juiz de Fora","MG",0.828,0.781,0.784,0.92,2000
"Ouro","SC",0.828,0.75,0.812,0.923,2000
"Quinze de Novembro","RS",0.828,0.717,0.844,0.924,2000
"Sorocaba","SP",0.828,0.792,0.777,0.915,2000
"Tucunduva","RS",0.828,0.694,0.877,0.914,2000
"Antônio Carlos","SC",0.827,0.72,0.882,0.879,2000
"Holambra","SP",0.827,0.801,0.805,0.876,2000
"Ipiranga do Sul","RS",0.827,0.731,0.836,0.913,2000
"Lins","SP",0.827,0.782,0.809,0.891,2000
"Monte Belo do Sul","RS",0.827,0.743,0.839,0.899,2000
"Rio do Sul","SC",0.827,0.769,0.798,0.915,2000
"São Vendelino","RS",0.827,0.719,0.85,0.913,2000
"Tapera","RS",0.827,0.735,0.838,0.909,2000
"Toledo","PR",0.827,0.73,0.823,0.927,2000
"Barueri","SP",0.826,0.808,0.772,0.899,2000
"Chapadão do Sul","MS",0.826,0.793,0.799,0.885,2000
"Cordilheira Alta","SC",0.826,0.734,0.855,0.888,2000
"Cotia","SP",0.826,0.786,0.778,0.913,2000
"Erechim","RS",0.826,0.751,0.808,0.92,2000
"Grão Pará","SC",0.826,0.754,0.833,0.89,2000
"Guabiju","RS",0.826,0.747,0.814,0.917,2000
"Guaporé","RS",0.826,0.757,0.814,0.908,2000
"Ibirama","SC",0.826,0.727,0.85,0.9,2000
"Nova Odessa","SP",0.826,0.746,0.831,0.901,2000
"Pinhalzinho","SC",0.826,0.708,0.855,0.914,2000
"Pouso Alegre","MG",0.826,0.769,0.803,0.907,2000
"Batatais","SP",0.825,0.757,0.82,0.899,2000
"Bauru","SP",0.825,0.81,0.758,0.908,2000
"Cerquilho","SP",0.825,0.781,0.811,0.883,2000
"Cruz Alta","RS",0.825,0.748,0.807,0.92,2000
"Horizontina","RS",0.825,0.729,0.807,0.939,2000
"Indaial","SC",0.825,0.747,0.806,0.921,2000
"Itajaí","SC",0.825,0.767,0.803,0.906,2000
"Ituporanga","SC",0.825,0.714,0.865,0.897,2000
"Laurentino","SC",0.825,0.738,0.85,0.887,2000
"Moji-Mirim","SP",0.825,0.781,0.794,0.9,2000
"Montauri","RS",0.825,0.778,0.814,0.883,2000
"Rio Claro","SP",0.825,0.799,0.772,0.903,2000
"Santa Tereza","RS",0.825,0.718,0.843,0.915,2000
"São Ludgero","SC",0.825,0.741,0.836,0.898,2000
"Águas de Santa Bárbara","SP",0.824,0.726,0.841,0.906,2000
"Cunha Porã","SC",0.824,0.713,0.862,0.897,2000
"Fortaleza dos Valos","RS",0.824,0.77,0.807,0.895,2000
"Ibirubá","RS",0.824,0.767,0.807,0.898,2000
"Londrina","PR",0.824,0.789,0.773,0.91,2000
"Muçum","RS",0.824,0.732,0.853,0.887,2000
"Orlândia","SP",0.824,0.748,0.83,0.894,2000
"Sorriso","MT",0.824,0.797,0.805,0.869,2000
"Varginha","MG",0.824,0.765,0.817,0.889,2000
"Altinópolis","SP",0.823,0.767,0.835,0.867,2000
"Cocal do Sul","SC",0.823,0.718,0.839,0.911,2000
"Itaúna","MG",0.823,0.733,0.837,0.899,2000
"São Pedro da Serra","RS",0.823,0.708,0.86,0.9,2000
"Botucatu","SP",0.822,0.783,0.774,0.909,2000
"Criciúma","SC",0.822,0.776,0.769,0.921,2000
"Guaíra","SP",0.822,0.728,0.849,0.888,2000
"Guaramirim","SC",0.822,0.722,0.838,0.906,2000
"Igrejinha","RS",0.822,0.733,0.847,0.885,2000
"Mirassol","SP",0.822,0.743,0.84,0.884,2000
"Nova Bréscia","RS",0.822,0.74,0.843,0.883,2000
"Rio Fortuna","SC",0.822,0.713,0.836,0.918,2000
"Três Passos","RS",0.822,0.705,0.831,0.929,2000
"Tupandi","RS",0.822,0.715,0.86,0.89,2000
"Anta Gorda","RS",0.821,0.756,0.814,0.892,2000
"Caibi","SC",0.821,0.715,0.855,0.893,2000
"Cuiabá","MT",0.821,0.79,0.734,0.938,2000
"Marília","SP",0.821,0.782,0.773,0.908,2000
"Nova Lima","MG",0.821,0.775,0.76,0.928,2000
"Pato Bragado","PR",0.821,0.72,0.833,0.91,2000
"Santo Ângelo","RS",0.821,0.741,0.789,0.934,2000
"Torres","RS",0.821,0.734,0.817,0.911,2000
"Tunápolis","SC",0.821,0.662,0.874,0.926,2000
"Turvo","SC",0.821,0.753,0.821,0.889,2000
"Barra Bonita","SP",0.82,0.76,0.812,0.889,2000
"Bragança Paulista","SP",0.82,0.772,0.801,0.887,2000
"Campos do Jordão","SP",0.82,0.763,0.846,0.851,2000
"Cotiporã","RS",0.82,0.735,0.839,0.886,2000
"Descalvado","SP",0.82,0.755,0.824,0.88,2000
"Franca","SP",0.82,0.755,0.8,0.906,2000
"Lindóia","SP",0.82,0.757,0.849,0.853,2000
"Panambi","RS",0.82,0.734,0.793,0.933,2000
"Presidente Lucena","RS",0.82,0.711,0.847,0.901,2000
"São Francisco do Sul","SC",0.82,0.743,0.811,0.907,2000
"São José do Inhacorá","RS",0.82,0.661,0.879,0.919,2000
"São Roque","SP",0.82,0.783,0.783,0.893,2000
"Atibaia","SP",0.819,0.791,0.801,0.866,2000
"Bebedouro","SP",0.819,0.746,0.825,0.887,2000
"Faxinal dos Guedes","SC",0.819,0.734,0.828,0.895,2000
"Imbé","RS",0.819,0.747,0.791,0.919,2000
"Jaú","SP",0.819,0.774,0.812,0.872,2000
"Lavras","MG",0.819,0.749,0.79,0.917,2000
"Lindóia do Sul","SC",0.819,0.767,0.794,0.896,2000
"Pedrinhas Paulista","SP",0.819,0.754,0.81,0.892,2000
"Picada Café","RS",0.819,0.731,0.801,0.925,2000
"Sales Oliveira","SP",0.819,0.735,0.83,0.892,2000
"Santa Bárbara d'Oeste","SP",0.819,0.738,0.813,0.906,2000
"São João Batista","SC",0.819,0.725,0.845,0.887,2000
"Taquara","RS",0.819,0.748,0.814,0.896,2000
"Biguaçu","SC",0.818,0.725,0.839,0.89,2000
"Candiota","RS",0.818,0.704,0.837,0.913,2000
"Canela","RS",0.818,0.731,0.847,0.876,2000
"Catalão","GO",0.818,0.727,0.819,0.908,2000
"Cianorte","PR",0.818,0.732,0.849,0.873,2000
"Corupá","SC",0.818,0.719,0.838,0.898,2000
"Guaratinguetá","SP",0.818,0.773,0.761,0.92,2000
"Ituiutaba","MG",0.818,0.728,0.848,0.877,2000
"Lucas do Rio Verde","MT",0.818,0.766,0.805,0.882,2000
"Osasco","SP",0.818,0.769,0.772,0.913,2000
"Pinheiro Preto","SC",0.818,0.697,0.818,0.94,2000
"Presidente Venceslau","SP",0.818,0.757,0.805,0.893,2000
"Protásio Alves","RS",0.818,0.754,0.802,0.897,2000
"Saldanha Marinho","RS",0.818,0.71,0.844,0.901,2000
"Trombudo Central","SC",0.818,0.711,0.85,0.892,2000
"Vila Flores","RS",0.818,0.692,0.842,0.919,2000
"Brotas","SP",0.817,0.747,0.844,0.861,2000
"Colorado","RS",0.817,0.7,0.838,0.912,2000
"Guapiaçu","SP",0.817,0.741,0.849,0.86,2000
"José Bonifácio","SP",0.817,0.746,0.84,0.866,2000
"Maravilha","SC",0.817,0.722,0.796,0.933,2000
"Planalto Alegre","SC",0.817,0.7,0.88,0.872,2000
"Promissão","SP",0.817,0.704,0.85,0.897,2000
"Rio dos Cedros","SC",0.817,0.709,0.845,0.896,2000
"Santa Cruz do Sul","RS",0.817,0.767,0.745,0.939,2000
"Serra Negra","SP",0.817,0.799,0.812,0.841,2000
"Siderópolis","SC",0.817,0.736,0.812,0.902,2000
"Vila Velha","ES",0.817,0.79,0.734,0.928,2000
"Votuporanga","SP",0.817,0.779,0.782,0.89,2000
"Chapada","RS",0.816,0.694,0.852,0.901,2000
"Mercedes","PR",0.816,0.75,0.818,0.88,2000
"Palhoça","SC",0.816,0.725,0.83,0.894,2000
"Pelotas","RS",0.816,0.748,0.777,0.922,2000
"Poço das Antas","RS",0.816,0.69,0.858,0.9,2000
"Pompéia","SP",0.816,0.734,0.821,0.893,2000
"Santiago","RS",0.816,0.727,0.81,0.912,2000
"São João del Rei","MG",0.816,0.712,0.826,0.91,2000
"São Martinho","SC",0.816,0.736,0.834,0.879,2000
"Teutônia","RS",0.816,0.737,0.784,0.927,2000
"Vale Real","RS",0.816,0.722,0.825,0.9,2000
"Vista Alegre do Alto","SP",0.816,0.749,0.844,0.855,2000
"André da Rocha","RS",0.815,0.724,0.814,0.906,2000
"Araguari","MG",0.815,0.737,0.815,0.894,2000
"Canoas","RS",0.815,0.752,0.773,0.92,2000
"Cravinhos","SP",0.815,0.751,0.822,0.871,2000
"Guaíba","RS",0.815,0.719,0.81,0.916,2000
"Itajubá","MG",0.815,0.752,0.764,0.928,2000
"Itu","SP",0.815,0.782,0.775,0.887,2000
"Jaboticabal","SP",0.815,0.769,0.791,0.885,2000
"Nova Boa Vista","RS",0.815,0.667,0.858,0.921,2000
"Nova Trento","SC",0.815,0.716,0.851,0.877,2000
"Olímpia","SP",0.815,0.752,0.809,0.885,2000
"Pindamonhangaba","SP",0.815,0.742,0.787,0.916,2000
"Pinhais","PR",0.815,0.721,0.822,0.902,2000
"Rosana","SP",0.815,0.723,0.81,0.911,2000
"São José do Hortêncio","RS",0.815,0.695,0.864,0.887,2000
"São José do Rio Pardo","SP",0.815,0.745,0.818,0.882,2000
"São Valentim do Sul","RS",0.815,0.755,0.784,0.907,2000
"Volta Redonda","RJ",0.815,0.75,0.763,0.931,2000
"Xanxerê","SC",0.815,0.717,0.811,0.918,2000
"Araranguá","SC",0.814,0.719,0.829,0.894,2000
"Camargo","RS",0.814,0.745,0.827,0.871,2000
"Campo Grande","MS",0.814,0.771,0.757,0.915,2000
"Gaurama","RS",0.814,0.704,0.839,0.9,2000
"Limeira","SP",0.814,0.759,0.793,0.89,2000
"Linha Nova","RS",0.814,0.681,0.86,0.9,2000
"Orleans","SC",0.814,0.717,0.836,0.888,2000
"São Jorge","RS",0.814,0.734,0.814,0.895,2000
"Votorantim","SP",0.814,0.727,0.8,0.914,2000
"Arroio do Sal","RS",0.813,0.726,0.818,0.896,2000
"Ascurra","SC",0.813,0.72,0.824,0.894,2000
"Barra Funda","RS",0.813,0.676,0.852,0.912,2000
"Cachoeirinha","RS",0.813,0.734,0.793,0.913,2000
"Caieiras","SP",0.813,0.736,0.785,0.917,2000
"Capinzal","SC",0.813,0.703,0.812,0.925,2000
"Cláudia","MT",0.813,0.789,0.802,0.848,2000
"Colina","SP",0.813,0.708,0.862,0.868,2000
"Lages","SC",0.813,0.744,0.782,0.914,2000
"Lajeado Grande","SC",0.813,0.726,0.828,0.885,2000
"Lençóis Paulista","SP",0.813,0.751,0.807,0.881,2000
"Maracajá","SC",0.813,0.742,0.828,0.868,2000
"Maratá","RS",0.813,0.702,0.86,0.876,2000
"Mogi Guaçu","SP",0.813,0.752,0.8,0.886,2000
"Monte Alto","SP",0.813,0.752,0.791,0.897,2000
"Nova Veneza","SC",0.813,0.736,0.812,0.891,2000
"Ourinhos","SP",0.813,0.745,0.808,0.886,2000
"Patos de Minas","MG",0.813,0.728,0.816,0.896,2000
"Rondinha","RS",0.813,0.706,0.842,0.891,2000
"Salvador das Missões","RS",0.813,0.666,0.824,0.948,2000
"Santo Antônio do Planalto","RS",0.813,0.69,0.852,0.896,2000
"Treze Tílias","SC",0.813,0.727,0.813,0.899,2000
"União da Serra","RS",0.813,0.737,0.806,0.895,2000
"Vila Maria","RS",0.813,0.733,0.827,0.878,2000
"Adamantina","SP",0.812,0.753,0.779,0.903,2000
"Andradas","MG",0.812,0.755,0.851,0.83,2000
"Arabutã","SC",0.812,0.732,0.805,0.899,2000
"Aurora","SC",0.812,0.715,0.85,0.87,2000
"Bady Bassitt","SP",0.812,0.732,0.809,0.895,2000
"Capivari de Baixo","SC",0.812,0.68,0.845,0.911,2000
"Dois Irmãos","RS",0.812,0.747,0.788,0.901,2000
"Fagundes Varela","RS",0.812,0.712,0.843,0.881,2000
"Goiatuba","GO",0.812,0.746,0.812,0.877,2000
"Monte Alegre do Sul","SP",0.812,0.749,0.824,0.862,2000
"Roca Sales","RS",0.812,0.719,0.829,0.888,2000
"São Domingos do Sul","RS",0.812,0.725,0.825,0.887,2000
"São Sebastião do Paraíso","MG",0.812,0.738,0.827,0.871,2000
"Socorro","SP",0.812,0.736,0.849,0.852,2000
"Tangará","SC",0.812,0.714,0.818,0.903,2000
"Unaí","MG",0.812,0.748,0.829,0.86,2000
"Agronômica","SC",0.811,0.706,0.85,0.878,2000
"Bálsamo","SP",0.811,0.765,0.805,0.862,2000
"Chuí","RS",0.811,0.73,0.767,0.936,2000
"Colinas","RS",0.811,0.7,0.843,0.891,2000
"Coronel Freitas","SC",0.811,0.69,0.855,0.887,2000
"Embu-Guaçu","SP",0.811,0.723,0.823,0.888,2000
"Gravataí","RS",0.811,0.718,0.81,0.906,2000
"Monte Sião","MG",0.811,0.77,0.85,0.814,2000
"Pará de Minas","MG",0.811,0.72,0.829,0.883,2000
"Santa Cruz do Rio Pardo","SP",0.811,0.749,0.808,0.876,2000
"São Carlos","SC",0.811,0.769,0.765,0.9,2000
"São João do Oeste","SC",0.811,0.661,0.823,0.949,2000
"Xangri-lá","RS",0.811,0.715,0.817,0.901,2000
"Águas da Prata","SP",0.81,0.745,0.802,0.884,2000
"Atalanta","SC",0.81,0.699,0.839,0.891,2000
"Campos de Júlio","MT",0.81,0.778,0.804,0.849,2000
"Casa Branca","SP",0.81,0.748,0.806,0.875,2000
"Cascavel","PR",0.81,0.749,0.743,0.937,2000
"Nova Erechim","SC",0.81,0.735,0.796,0.898,2000
"Nova Friburgo","RJ",0.81,0.758,0.788,0.885,2000
"Pedreira","SP",0.81,0.757,0.805,0.869,2000
"Penápolis","SP",0.81,0.756,0.777,0.897,2000
"Peritiba","SC",0.81,0.696,0.8,0.935,2000
"Presidente Getúlio","SC",0.81,0.727,0.803,0.899,2000
"Rodeio","SC",0.81,0.727,0.801,0.903,2000
"São Joaquim da Barra","SP",0.81,0.745,0.783,0.902,2000
"Serra Alta","SC",0.81,0.679,0.855,0.895,2000
"Tietê","SP",0.81,0.785,0.761,0.883,2000
"Torrinha","SP",0.81,0.724,0.844,0.862,2000
"Água Doce","SC",0.809,0.709,0.832,0.886,2000
"Bilac","SP",0.809,0.729,0.833,0.866,2000
"Bombinhas","SC",0.809,0.731,0.808,0.889,2000
"Campo Novo do Parecis","MT",0.809,0.815,0.745,0.866,2000
"Cruzeiro","SP",0.809,0.733,0.78,0.914,2000
"Ibiam","SC",0.809,0.691,0.854,0.881,2000
"Jacareí","SP",0.809,0.752,0.763,0.913,2000
"Mococa","SP",0.809,0.728,0.815,0.885,2000
"Mondaí","SC",0.809,0.675,0.823,0.928,2000
"Novo Hamburgo","RS",0.809,0.769,0.752,0.906,2000
"Patrocínio Paulista","SP",0.809,0.704,0.857,0.867,2000
"Resende","RJ",0.809,0.758,0.75,0.918,2000
"Rodeio Bonito","RS",0.809,0.694,0.842,0.891,2000
"Salto","SP",0.809,0.747,0.768,0.911,2000
"Santa Fé do Sul","SP",0.809,0.755,0.787,0.885,2000
"São Manuel","SP",0.809,0.726,0.831,0.871,2000
"Sertão","RS",0.809,0.706,0.827,0.894,2000
"Taboão da Serra","SP",0.809,0.754,0.778,0.894,2000
"Taió","SC",0.809,0.719,0.813,0.894,2000
"Tupãssi","PR",0.809,0.704,0.848,0.876,2000
"Viçosa","MG",0.809,0.741,0.756,0.929,2000
"Xaxim","SC",0.809,0.731,0.814,0.883,2000
"Alto Feliz","RS",0.808,0.693,0.842,0.89,2000
"Arcos","MG",0.808,0.705,0.825,0.894,2000
"Cidreira","RS",0.808,0.727,0.791,0.907,2000
"Espírito Santo do Pinhal","SP",0.808,0.751,0.816,0.857,2000
"Estância Velha","RS",0.808,0.74,0.775,0.909,2000
"Jardinópolis","SP",0.808,0.738,0.808,0.879,2000
"Monte Aprazível","SP",0.808,0.739,0.805,0.88,2000
"Nova Candelária","RS",0.808,0.67,0.841,0.913,2000
"Novo Horizonte","SP",0.808,0.725,0.842,0.858,2000
"Pindorama","SP",0.808,0.703,0.844,0.877,2000
"São Gabriel do Oeste","MS",0.808,0.783,0.775,0.867,2000
"São Pedro do Butiá","RS",0.808,0.684,0.799,0.942,2000
"Severiano de Almeida","RS",0.808,0.694,0.817,0.912,2000
"Tramandaí","RS",0.808,0.739,0.792,0.894,2000
"Viamão","RS",0.808,0.697,0.834,0.892,2000
"Águas de Lindóia","SP",0.807,0.774,0.812,0.836,2000
"Balneário Barra do Sul","SC",0.807,0.698,0.824,0.9,2000
"Barão","RS",0.807,0.708,0.819,0.895,2000
"Bocaina","SP",0.807,0.731,0.853,0.837,2000
"Capivari do Sul","RS",0.807,0.737,0.811,0.873,2000
"Cerro Largo","RS",0.807,0.691,0.799,0.931,2000
"Itaju","SP",0.807,0.694,0.859,0.867,2000
"Itupeva","SP",0.807,0.769,0.78,0.871,2000
"João Monlevade","MG",0.807,0.688,0.827,0.906,2000
"Lorena","SP",0.807,0.74,0.761,0.921,2000
"Pedro Leopoldo","MG",0.807,0.707,0.817,0.898,2000
"Putinga","RS",0.807,0.759,0.814,0.848,2000
"Ribeirão Pires","SP",0.807,0.757,0.749,0.915,2000
"Rio Verde","GO",0.807,0.746,0.803,0.871,2000
"São Gotardo","MG",0.807,0.806,0.792,0.822,2000
"São Vicente do Sul","RS",0.807,0.694,0.859,0.869,2000
"Sinop","MT",0.807,0.746,0.802,0.874,2000
"Travesseiro","RS",0.807,0.688,0.843,0.891,2000
"Valparaíso","SP",0.807,0.716,0.826,0.878,2000
"Vespasiano Correa","RS",0.807,0.714,0.843,0.865,2000
"Vista Alegre do Prata","RS",0.807,0.728,0.782,0.912,2000
"Witmarsum","SC",0.807,0.674,0.865,0.881,2000
"Amparo","SP",0.806,0.791,0.746,0.881,2000
"Avaré","SP",0.806,0.761,0.785,0.872,2000
"Barra Mansa","RJ",0.806,0.717,0.787,0.913,2000
"Belém","PA",0.806,0.732,0.758,0.928,2000
"Capão da Canoa","RS",0.806,0.726,0.791,0.9,2000
"Charqueadas","RS",0.806,0.705,0.812,0.902,2000
"Ernestina","RS",0.806,0.704,0.829,0.886,2000
"Estação","RS",0.806,0.697,0.803,0.919,2000
"Ipatinga","MG",0.806,0.729,0.787,0.901,2000
"Matão","SP",0.806,0.734,0.813,0.871,2000
"Morrinhos","GO",0.806,0.75,0.807,0.861,2000
"Nhandeara","SP",0.806,0.732,0.805,0.88,2000
"Nova Aliança","SP",0.806,0.701,0.851,0.866,2000
"Nova Santa Rosa","PR",0.806,0.702,0.789,0.928,2000
"Piratuba","SC",0.806,0.716,0.794,0.909,2000
"Poá","SP",0.806,0.726,0.768,0.925,2000
"Porto União","SC",0.806,0.723,0.78,0.916,2000
"Rio Quente","GO",0.806,0.764,0.736,0.917,2000
